date,n_stars,package
2014-09-12,18,tidyverse/broom
2014-09-13,1,tidyverse/broom
2014-09-14,1,tidyverse/broom
2014-09-15,6,tidyverse/broom
2014-09-16,2,tidyverse/broom
2014-09-17,10,tidyverse/broom
2014-09-18,6,tidyverse/broom
2014-09-19,2,tidyverse/broom
2014-09-21,2,tidyverse/broom
2014-09-22,1,tidyverse/broom
2014-09-23,2,tidyverse/broom
2014-09-24,2,tidyverse/broom
2014-09-25,2,tidyverse/broom
2014-10-07,3,tidyverse/broom
2014-10-08,1,tidyverse/broom
2014-10-09,1,tidyverse/broom
2014-10-10,1,tidyverse/broom
2014-10-13,1,tidyverse/broom
2014-10-17,8,tidyverse/broom
2014-10-18,4,tidyverse/broom
2014-10-19,1,tidyverse/broom
2014-10-20,1,tidyverse/broom
2014-10-22,1,tidyverse/broom
2014-10-30,1,tidyverse/broom
2014-10-31,1,tidyverse/broom
2014-11-03,1,tidyverse/broom
2014-11-04,1,tidyverse/broom
2014-11-05,1,tidyverse/broom
2014-11-06,3,tidyverse/broom
2014-11-08,1,tidyverse/broom
2014-11-14,1,tidyverse/broom
2014-11-18,1,tidyverse/broom
2014-12-04,1,tidyverse/broom
2014-12-05,1,tidyverse/broom
2014-12-08,1,tidyverse/broom
2014-12-10,1,tidyverse/broom
2014-12-11,2,tidyverse/broom
2014-12-12,1,tidyverse/broom
2014-12-15,1,tidyverse/broom
2014-12-17,6,tidyverse/broom
2014-12-18,6,tidyverse/broom
2014-12-19,2,tidyverse/broom
2014-12-20,2,tidyverse/broom
2014-12-21,2,tidyverse/broom
2014-12-22,1,tidyverse/broom
2014-12-26,2,tidyverse/broom
2014-12-27,1,tidyverse/broom
2014-12-29,1,tidyverse/broom
2015-01-03,6,tidyverse/broom
2015-01-04,3,tidyverse/broom
2015-01-05,6,tidyverse/broom
2015-01-06,1,tidyverse/broom
2015-01-12,1,tidyverse/broom
2015-01-14,1,tidyverse/broom
2015-01-15,1,tidyverse/broom
2015-01-19,1,tidyverse/broom
2015-01-22,1,tidyverse/broom
2015-01-26,1,tidyverse/broom
2015-02-02,2,tidyverse/broom
2015-02-06,1,tidyverse/broom
2015-02-10,1,tidyverse/broom
2015-02-12,1,tidyverse/broom
2015-02-22,1,tidyverse/broom
2015-02-26,1,tidyverse/broom
2015-03-06,2,tidyverse/broom
2015-03-07,1,tidyverse/broom
2015-03-09,1,tidyverse/broom
2015-03-11,1,tidyverse/broom
2015-03-18,1,tidyverse/broom
2015-03-19,2,tidyverse/broom
2015-03-20,6,tidyverse/broom
2015-03-21,2,tidyverse/broom
2015-03-22,1,tidyverse/broom
2015-03-23,2,tidyverse/broom
2015-03-24,4,tidyverse/broom
2015-03-26,1,tidyverse/broom
2015-03-27,1,tidyverse/broom
2015-03-29,2,tidyverse/broom
2015-03-30,1,tidyverse/broom
2015-03-31,1,tidyverse/broom
2015-04-01,1,tidyverse/broom
2015-04-04,2,tidyverse/broom
2015-04-07,4,tidyverse/broom
2015-04-08,2,tidyverse/broom
2015-04-09,1,tidyverse/broom
2015-04-12,2,tidyverse/broom
2015-04-13,3,tidyverse/broom
2015-04-14,4,tidyverse/broom
2015-04-15,1,tidyverse/broom
2015-04-16,1,tidyverse/broom
2015-04-22,2,tidyverse/broom
2015-04-24,1,tidyverse/broom
2015-04-25,1,tidyverse/broom
2015-04-26,1,tidyverse/broom
2015-04-27,1,tidyverse/broom
2015-04-29,1,tidyverse/broom
2015-04-30,1,tidyverse/broom
2015-05-02,1,tidyverse/broom
2015-05-06,1,tidyverse/broom
2015-05-10,1,tidyverse/broom
2015-05-20,1,tidyverse/broom
2015-05-21,2,tidyverse/broom
2015-05-27,1,tidyverse/broom
2015-05-28,1,tidyverse/broom
2015-06-02,1,tidyverse/broom
2015-06-03,2,tidyverse/broom
2015-06-08,1,tidyverse/broom
2015-06-10,1,tidyverse/broom
2015-06-15,1,tidyverse/broom
2015-06-17,1,tidyverse/broom
2015-06-22,1,tidyverse/broom
2015-06-24,2,tidyverse/broom
2015-06-30,1,tidyverse/broom
